                 line1                  |            name            |       district       |                 name                  
----------------------------------------+----------------------------+----------------------+---------------------------------------
 47 MySakila Drive                      | Lethbridge                 | Alberta              | Canada
 28 MySQL Boulevard                     | Woodridge                  | QLD                  | Australia
 23 Workhaven Lane                      | Lethbridge                 | Alberta              | Canada
 1411 Lillydale Drive                   | Woodridge                  | QLD                  | Australia
 1913 Hanoi Way                         | Sasebo                     | Nagasaki             | Japan
 1121 Loja Avenue                       | San Bernardino             | California           | Murica
 692 Joliet Street                      | Athenai                    | Attika               | Greece
 1566 Inegl Manor                       | Myingyan                   | Mandalay             | Myanmar
 53 Idfu Parkway                        | Nantou                     | Nantou               | Taiwan
 1795 Santiago de Compostela Way        | Laredo                     | Texas                | Murica
 900 Santiago de Compostela Parkway     | Kragujevac                 | Central Serbia       | Yugoslavia
 478 Joliet Way                         | Hamilton                   | Hamilton             | New Zealand
 613 Korolev Drive                      | Masqat                     | Masqat               | Oman
 1531 Sal Drive                         | Esfahan                    | Esfahan              | Iran
 1542 Tarlac Parkway                    | Sagamihara                 | Kanagawa             | Japan
 808 Bhopal Manor                       | Yamuna Nagar               | Haryana              | India
 270 Amroha Parkway                     | Osmaniye                   | Osmaniye             | Turkey
 770 Bydgoszcz Avenue                   | Citrus Heights             | California           | Murica
 419 Iligan Lane                        | Bhopal                     | Madhya Pradesh       | India
 360 Toulouse Parkway                   | Southend-on-Sea            | England              | United Kingdom
 270 Toulon Boulevard                   | Elista                     | Kalmykia             | Russian Federation
 320 Brest Avenue                       | Kaduna                     | Kaduna               | Nigeria
 1417 Lancaster Avenue                  | Kimberley                  | Northern Cape        | South Africa
 1688 Okara Way                         | Mardan                     | Nothwest Border Prov | Pakistan
 262 A Corua (La Corua) Parkway         | Tangail                    | Dhaka                | Bangladesh
 28 Charlotte Amalie Street             | Sal                        | Rabat-Sal-Zammour-Z  | Morocco
 1780 Hino Boulevard                    | Liepaja                    | Liepaja              | Latvia
 96 Tafuna Way                          | Crdoba                     | Crdoba               | Argentina
 934 San Felipe de Puerto Plata Street  | Shikarpur                  | Sind                 | Pakistan
